Houses,Price,Area
20,12677805.0,2018-05-27 12:38:16.741683.area
20,12677805.0,2018-05-27 12:38:20.392154.area
20,12624510.0,2018-05-27 12:38:24.002013.area
20,12677805.0,2018-05-27 12:38:27.622279.area
20,12677805.0,2018-05-27 12:38:31.353026.area
20,12661845.0,2018-05-27 12:38:35.082958.area
20,12686355.0,2018-05-27 12:38:38.755839.area
20,12686355.0,2018-05-27 12:38:42.451209.area
20,12686355.0,2018-05-27 12:38:46.162241.area
20,12686355.0,2018-05-27 12:38:49.856628.area
20,12682080.0,2018-05-27 12:38:53.548547.area
20,12686355.0,2018-05-27 12:38:57.382988.area
20,12686355.0,2018-05-27 12:39:01.149981.area
20,12686355.0,2018-05-27 12:39:04.958822.area
20,12637095.0,2018-05-27 12:39:08.757974.area
20,12686355.0,2018-05-27 12:39:12.471788.area
20,12686355.0,2018-05-27 12:39:16.184722.area
20,12686355.0,2018-05-27 12:39:19.921853.area
20,12660075.0,2018-05-27 12:39:23.621608.area
20,12686355.0,2018-05-27 12:39:27.297065.area
20,12686355.0,2018-05-27 12:39:31.024498.area
20,12686355.0,2018-05-27 12:39:34.644278.area
20,12686355.0,2018-05-27 12:39:38.252792.area
20,12686355.0,2018-05-27 12:39:41.928436.area
20,12686355.0,2018-05-27 12:39:45.676983.area
20,12686355.0,2018-05-27 12:39:49.486745.area
20,12716565.0,2018-05-27 12:39:53.289790.area
20,12716565.0,2018-05-27 12:39:57.210687.area
20,12716565.0,2018-05-27 12:40:00.996444.area
20,12716565.0,2018-05-27 12:40:04.874410.area
20,12716565.0,2018-05-27 12:40:08.670997.area
20,12716565.0,2018-05-27 12:40:12.414047.area
20,12716565.0,2018-05-27 12:40:16.412977.area
20,12716565.0,2018-05-27 12:40:20.171848.area
20,12690285.0,2018-05-27 12:40:23.852630.area
20,12716565.0,2018-05-27 12:40:28.579103.area
20,12716565.0,2018-05-27 12:40:32.468220.area
20,12716565.0,2018-05-27 12:40:36.676267.area
20,12716565.0,2018-05-27 12:40:40.548860.area
20,12698265.0,2018-05-27 12:40:44.654885.area
20,12708015.0,2018-05-27 12:40:48.573349.area
20,12716565.0,2018-05-27 12:40:52.713979.area
20,12950205.0,2018-05-27 12:40:57.048515.area
20,12950205.0,2018-05-27 12:41:00.846806.area
20,12950205.0,2018-05-27 12:41:04.569046.area
20,12950205.0,2018-05-27 12:41:08.304621.area
20,12931905.0,2018-05-27 12:41:12.051614.area
20,12950205.0,2018-05-27 12:41:15.769993.area
20,12950205.0,2018-05-27 12:41:19.515093.area
20,12950205.0,2018-05-27 12:41:23.243367.area
20,12853065.0,2018-05-27 12:41:27.115204.area
20,12950205.0,2018-05-27 12:41:31.413244.area
20,12950205.0,2018-05-27 12:41:35.300194.area
20,12826785.0,2018-05-27 12:41:39.047493.area
20,12950205.0,2018-05-27 12:41:42.802677.area
20,12950205.0,2018-05-27 12:41:46.696047.area
20,12950205.0,2018-05-27 12:41:51.206041.area
20,12937380.0,2018-05-27 12:41:54.991713.area
20,12870405.0,2018-05-27 12:41:59.055505.area
20,12950205.0,2018-05-27 12:42:03.307001.area
20,12913605.0,2018-05-27 12:42:07.795483.area
20,12931905.0,2018-05-27 12:42:12.197984.area
20,12950205.0,2018-05-27 12:42:16.565106.area
20,12950205.0,2018-05-27 12:42:20.576258.area
20,12950205.0,2018-05-27 12:42:24.360565.area
20,12950205.0,2018-05-27 12:42:28.133243.area
20,12942795.0,2018-05-27 12:42:31.894372.area
20,12971580.0,2018-05-27 12:42:35.642215.area
20,12910305.0,2018-05-27 12:42:39.495376.area
20,13008180.0,2018-05-27 12:42:43.385012.area
20,12976260.0,2018-05-27 12:42:47.295179.area
20,12976260.0,2018-05-27 12:42:51.176669.area
20,12991080.0,2018-05-27 12:42:55.203020.area
20,13008180.0,2018-05-27 12:42:59.419152.area
20,13008180.0,2018-05-27 12:43:03.550699.area
20,12989880.0,2018-05-27 12:43:07.662736.area
20,13008180.0,2018-05-27 12:43:11.674706.area
20,13008180.0,2018-05-27 12:43:15.913516.area
20,13008180.0,2018-05-27 12:43:20.067654.area
20,13052355.0,2018-05-27 12:43:25.045926.area
20,12960855.0,2018-05-27 12:43:29.094646.area
20,13052355.0,2018-05-27 12:43:33.256377.area
20,13043805.0,2018-05-27 12:43:37.363290.area
20,13052355.0,2018-05-27 12:43:41.568301.area
20,13052355.0,2018-05-27 12:43:45.671463.area
20,13043805.0,2018-05-27 12:43:49.937559.area
20,13052355.0,2018-05-27 12:43:54.188221.area
20,13022430.0,2018-05-27 12:43:58.424302.area
20,13052355.0,2018-05-27 12:44:02.601884.area
20,13052355.0,2018-05-27 12:44:06.774708.area
20,13089120.0,2018-05-27 12:44:11.036469.area
20,13089120.0,2018-05-27 12:44:15.094035.area
20,13089120.0,2018-05-27 12:44:19.354781.area
20,13089120.0,2018-05-27 12:44:23.654925.area
20,13070820.0,2018-05-27 12:44:28.237402.area
20,13093395.0,2018-05-27 12:44:32.422227.area
20,13093395.0,2018-05-27 12:44:36.276458.area
20,13053495.0,2018-05-27 12:44:40.143342.area
20,13110495.0,2018-05-27 12:44:44.007119.area
20,13066320.0,2018-05-27 12:44:47.896271.area
20,13110495.0,2018-05-27 12:44:52.284811.area
20,13110495.0,2018-05-27 12:44:57.384487.area
20,13110495.0,2018-05-27 12:45:03.709931.area
20,13066320.0,2018-05-27 12:45:07.964762.area
20,13110495.0,2018-05-27 12:45:11.835669.area
20,13110495.0,2018-05-27 12:45:15.846548.area
20,13110495.0,2018-05-27 12:45:19.794493.area
20,13092195.0,2018-05-27 12:45:25.097227.area
20,13110495.0,2018-05-27 12:45:30.259443.area
20,13110495.0,2018-05-27 12:45:37.267976.area
20,13110495.0,2018-05-27 12:45:41.636484.area
20,13110495.0,2018-05-27 12:45:47.173024.area
20,13110495.0,2018-05-27 12:45:52.827562.area
20,13092195.0,2018-05-27 12:45:58.182835.area
20,13110495.0,2018-05-27 12:46:02.398157.area
20,13110495.0,2018-05-27 12:46:06.803381.area
20,13110495.0,2018-05-27 12:46:11.137274.area
20,13100175.0,2018-05-27 12:46:15.328698.area
20,13110495.0,2018-05-27 12:46:19.918876.area
20,13123320.0,2018-05-27 12:46:24.167369.area
20,13123320.0,2018-05-27 12:46:28.380705.area
20,13123320.0,2018-05-27 12:46:32.453705.area
20,13123320.0,2018-05-27 12:46:36.409856.area
20,13106220.0,2018-05-27 12:46:41.274311.area
20,13123320.0,2018-05-27 12:46:45.286535.area
20,13123320.0,2018-05-27 12:46:49.472513.area
20,13123320.0,2018-05-27 12:46:53.680661.area
20,13105020.0,2018-05-27 12:46:57.784347.area
20,13050120.0,2018-05-27 12:47:02.023308.area
20,13123320.0,2018-05-27 12:47:06.233114.area
20,13127025.0,2018-05-27 12:47:10.464483.area
20,13158945.0,2018-05-27 12:47:14.509691.area
20,13158945.0,2018-05-27 12:47:18.370727.area
20,13085745.0,2018-05-27 12:47:22.214218.area
20,13180320.0,2018-05-27 12:47:26.128011.area
20,13180320.0,2018-05-27 12:47:30.047369.area
20,13180320.0,2018-05-27 12:47:33.960315.area
20,13180320.0,2018-05-27 12:47:37.890277.area
20,13180320.0,2018-05-27 12:47:41.843862.area
20,13196280.0,2018-05-27 12:47:45.768982.area
20,13196280.0,2018-05-27 12:47:49.684897.area
20,13196280.0,2018-05-27 12:47:53.613424.area
20,13196280.0,2018-05-27 12:47:57.560478.area
20,13196280.0,2018-05-27 12:48:01.482005.area
20,13196280.0,2018-05-27 12:48:05.389189.area
20,13220790.0,2018-05-27 12:48:09.318224.area
20,13202490.0,2018-05-27 12:48:13.249840.area
20,13220790.0,2018-05-27 12:48:17.187077.area
20,13220790.0,2018-05-27 12:48:21.114373.area
20,13129290.0,2018-05-27 12:48:25.023869.area
20,13220790.0,2018-05-27 12:48:28.919526.area
20,13220790.0,2018-05-27 12:48:32.854883.area
20,13220790.0,2018-05-27 12:48:37.105799.area
20,13220790.0,2018-05-27 12:48:41.388637.area
20,13225065.0,2018-05-27 12:48:46.441773.area
20,13225065.0,2018-05-27 12:48:52.003449.area
20,13207965.0,2018-05-27 12:48:57.133625.area
20,13225065.0,2018-05-27 12:49:01.221753.area
20,13206765.0,2018-05-27 12:49:05.283498.area
20,13206765.0,2018-05-27 12:49:09.350796.area
20,13212810.0,2018-05-27 12:49:13.426839.area
20,13225065.0,2018-05-27 12:49:17.640760.area
20,13225065.0,2018-05-27 12:49:21.691323.area
20,13145265.0,2018-05-27 12:49:26.020694.area
20,13225065.0,2018-05-27 12:49:30.488655.area
20,13225065.0,2018-05-27 12:49:35.196553.area
20,13225065.0,2018-05-27 12:49:39.855580.area
20,13242165.0,2018-05-27 12:49:44.133648.area
20,13220790.0,2018-05-27 12:49:48.241372.area
20,13242165.0,2018-05-27 12:49:52.764478.area
20,13229340.0,2018-05-27 12:49:57.284273.area
20,13242165.0,2018-05-27 12:50:01.834317.area
20,13290045.0,2018-05-27 12:50:06.352954.area
20,13271745.0,2018-05-27 12:50:10.770260.area
20,13298595.0,2018-05-27 12:50:15.609638.area
20,13298595.0,2018-05-27 12:50:20.442836.area
20,13298595.0,2018-05-27 12:50:24.972478.area
20,13285770.0,2018-05-27 12:50:29.897256.area
20,13298595.0,2018-05-27 12:50:34.306884.area
20,13237320.0,2018-05-27 12:50:38.323462.area
20,13281495.0,2018-05-27 12:50:42.401866.area
20,13298595.0,2018-05-27 12:50:46.468741.area
20,13298595.0,2018-05-27 12:50:50.515674.area
20,13298595.0,2018-05-27 12:50:54.562431.area
20,13298595.0,2018-05-27 12:50:58.699195.area
20,13298595.0,2018-05-27 12:51:02.749783.area
20,13298595.0,2018-05-27 12:51:06.831080.area
20,13237320.0,2018-05-27 12:51:10.855609.area
20,13340205.0,2018-05-27 12:51:14.891084.area
20,13340205.0,2018-05-27 12:51:18.923359.area
20,13364145.0,2018-05-27 12:51:23.061022.area
20,13364145.0,2018-05-27 12:51:27.551849.area
20,13364145.0,2018-05-27 12:51:32.178181.area
20,13364145.0,2018-05-27 12:51:36.647205.area
20,13364145.0,2018-05-27 12:51:41.174259.area
20,13364145.0,2018-05-27 12:51:45.872434.area
20,13364145.0,2018-05-27 12:51:50.339856.area
20,13368420.0,2018-05-27 12:51:54.396882.area
20,13394070.0,2018-05-27 12:51:58.659614.area
20,13410030.0,2018-05-27 12:52:03.136454.area
20,13410030.0,2018-05-27 12:52:07.698103.area
20,13410030.0,2018-05-27 12:52:12.398797.area
20,13410030.0,2018-05-27 12:52:16.937377.area
20,13410030.0,2018-05-27 12:52:21.560593.area
20,13410030.0,2018-05-27 12:52:26.094767.area
20,13428555.0,2018-05-27 12:52:30.454404.area
