Houses,Price,Area
40,16002885.0,2018-05-27 20:36:53.497291.area
40,16646505.0,2018-05-27 20:36:55.132194.area
40,15964785.0,2018-05-27 20:36:56.205282.area
40,16320945.0,2018-05-27 20:36:57.340424.area
40,16365180.0,2018-05-27 20:36:58.820609.area
40,16738335.0,2018-05-27 20:37:00.207338.area
40,16843515.0,2018-05-27 20:37:01.837072.area
40,16734255.0,2018-05-27 20:37:03.523755.area
40,16895160.0,2018-05-27 20:37:05.542742.area
40,16826625.0,2018-05-27 20:37:07.120851.area
40,16119600.0,2018-05-27 20:37:08.085281.area
40,17434950.0,2018-05-27 20:37:10.372680.area
40,16340280.0,2018-05-27 20:37:11.708616.area
40,16470345.0,2018-05-27 20:37:13.465847.area
40,16851555.0,2018-05-27 20:37:15.082118.area
40,17381745.0,2018-05-27 20:37:17.404254.area
40,16322190.0,2018-05-27 20:37:18.555986.area
40,16452930.0,2018-05-27 20:37:19.768638.area
40,16522005.0,2018-05-27 20:37:21.106989.area
40,17498625.0,2018-05-27 20:37:23.030246.area
40,15945795.0,2018-05-27 20:37:24.216292.area
40,17120475.0,2018-05-27 20:37:26.239412.area
40,17138985.0,2018-05-27 20:37:28.228303.area
40,16862250.0,2018-05-27 20:37:30.136474.area
40,16634535.0,2018-05-27 20:37:31.779451.area
40,17052705.0,2018-05-27 20:37:33.518528.area
40,16032690.0,2018-05-27 20:37:34.626865.area
40,16832220.0,2018-05-27 20:37:36.293486.area
40,16868430.0,2018-05-27 20:37:37.912279.area
40,16957440.0,2018-05-27 20:37:40.158108.area
40,16287135.0,2018-05-27 20:37:41.505736.area
40,17116320.0,2018-05-27 20:37:43.115009.area
40,16553685.0,2018-05-27 20:37:44.681578.area
40,16269990.0,2018-05-27 20:37:46.129578.area
40,16410555.0,2018-05-27 20:37:47.390268.area
40,16358640.0,2018-05-27 20:37:48.818897.area
40,16842690.0,2018-05-27 20:37:50.337835.area
40,15884355.0,2018-05-27 20:37:51.413606.area
40,16453980.0,2018-05-27 20:37:53.033773.area
40,17179140.0,2018-05-27 20:37:55.470613.area
40,17064420.0,2018-05-27 20:37:57.152976.area
40,16819980.0,2018-05-27 20:37:58.776923.area
40,16148880.0,2018-05-27 20:37:59.964347.area
40,16761540.0,2018-05-27 20:38:01.518893.area
40,16840920.0,2018-05-27 20:38:03.060616.area
40,16704495.0,2018-05-27 20:38:04.539569.area
40,16556955.0,2018-05-27 20:38:05.885942.area
40,16646040.0,2018-05-27 20:38:07.449641.area
40,16716795.0,2018-05-27 20:38:09.834285.area
40,17060205.0,2018-05-27 20:38:11.811010.area
40,16195320.0,2018-05-27 20:38:13.396514.area
40,16734345.0,2018-05-27 20:38:14.877775.area
40,16946925.0,2018-05-27 20:38:16.677822.area
40,16786920.0,2018-05-27 20:38:18.290567.area
40,16824000.0,2018-05-27 20:38:20.201892.area
40,16465290.0,2018-05-27 20:38:21.791249.area
40,16334010.0,2018-05-27 20:38:23.081770.area
40,16632915.0,2018-05-27 20:38:25.037044.area
40,16526640.0,2018-05-27 20:38:26.305193.area
40,17016015.0,2018-05-27 20:38:27.994738.area
40,17101680.0,2018-05-27 20:38:29.746764.area
40,16437405.0,2018-05-27 20:38:31.579792.area
40,16496820.0,2018-05-27 20:38:32.904800.area
40,17461230.0,2018-05-27 20:38:34.756660.area
40,16530075.0,2018-05-27 20:38:36.636006.area
40,15920460.0,2018-05-27 20:38:37.729558.area
40,17392905.0,2018-05-27 20:38:39.894995.area
40,16444230.0,2018-05-27 20:38:41.347199.area
40,16078785.0,2018-05-27 20:38:42.606966.area
40,16077720.0,2018-05-27 20:38:43.855179.area
40,17159760.0,2018-05-27 20:38:45.584076.area
40,16601340.0,2018-05-27 20:38:47.116221.area
40,15989640.0,2018-05-27 20:38:48.518246.area
40,16214355.0,2018-05-27 20:38:50.155175.area
40,16852440.0,2018-05-27 20:38:51.702480.area
40,16350150.0,2018-05-27 20:38:53.092975.area
40,16250580.0,2018-05-27 20:38:54.268654.area
40,16228230.0,2018-05-27 20:38:55.503162.area
40,16872300.0,2018-05-27 20:38:57.553850.area
40,16918455.0,2018-05-27 20:38:59.371794.area
40,16522665.0,2018-05-27 20:39:00.787846.area
40,16860720.0,2018-05-27 20:39:02.443893.area
40,16589835.0,2018-05-27 20:39:04.908489.area
40,16548825.0,2018-05-27 20:39:06.697250.area
40,16368525.0,2018-05-27 20:39:08.191986.area
40,17066910.0,2018-05-27 20:39:10.625374.area
40,16242585.0,2018-05-27 20:39:11.957773.area
40,17430015.0,2018-05-27 20:39:13.779397.area
40,16071915.0,2018-05-27 20:39:14.909103.area
40,17339910.0,2018-05-27 20:39:17.136081.area
40,16757175.0,2018-05-27 20:39:19.469858.area
40,16436940.0,2018-05-27 20:39:20.761173.area
40,16725195.0,2018-05-27 20:39:22.160846.area
40,16480020.0,2018-05-27 20:39:23.653745.area
40,16809300.0,2018-05-27 20:39:26.409978.area
40,16795620.0,2018-05-27 20:39:28.075548.area
40,17131185.0,2018-05-27 20:39:29.903167.area
40,16699320.0,2018-05-27 20:39:32.037131.area
40,16027035.0,2018-05-27 20:39:33.352925.area
40,16459065.0,2018-05-27 20:39:34.874761.area
40,16624305.0,2018-05-27 20:39:36.402138.area
40,16159770.0,2018-05-27 20:39:37.563711.area
40,16038270.0,2018-05-27 20:39:38.866245.area
40,16460925.0,2018-05-27 20:39:40.103995.area
40,17117355.0,2018-05-27 20:39:41.735734.area
40,16876995.0,2018-05-27 20:39:43.339890.area
40,16440330.0,2018-05-27 20:39:44.785250.area
40,16741845.0,2018-05-27 20:39:46.301416.area
40,16572450.0,2018-05-27 20:39:47.846767.area
40,16491270.0,2018-05-27 20:39:49.541987.area
40,16748940.0,2018-05-27 20:39:51.030727.area
40,16997610.0,2018-05-27 20:39:53.146976.area
40,16725405.0,2018-05-27 20:39:54.703342.area
40,16047795.0,2018-05-27 20:39:55.887702.area
40,16749825.0,2018-05-27 20:39:57.463703.area
40,16858155.0,2018-05-27 20:39:59.362221.area
40,16662795.0,2018-05-27 20:40:00.974116.area
40,16425810.0,2018-05-27 20:40:02.373390.area
40,17231835.0,2018-05-27 20:40:04.109615.area
40,16613820.0,2018-05-27 20:40:05.540894.area
40,16735770.0,2018-05-27 20:40:07.123154.area
40,16789890.0,2018-05-27 20:40:08.831140.area
40,16617090.0,2018-05-27 20:40:10.311803.area
40,16581645.0,2018-05-27 20:40:12.241691.area
40,16393365.0,2018-05-27 20:40:13.606576.area
40,15742425.0,2018-05-27 20:40:14.647676.area
40,16708020.0,2018-05-27 20:40:16.036118.area
40,16291050.0,2018-05-27 20:40:17.323420.area
40,16947135.0,2018-05-27 20:40:19.273342.area
40,16622790.0,2018-05-27 20:40:20.821172.area
40,16818270.0,2018-05-27 20:40:23.104324.area
40,16482885.0,2018-05-27 20:40:24.667269.area
40,16442565.0,2018-05-27 20:40:25.964852.area
40,16793145.0,2018-05-27 20:40:28.220558.area
40,17004450.0,2018-05-27 20:40:29.819164.area
