Houses,Price,Area
60,23544675.0,2018-05-27 14:45:53.094486.area
60,23867190.0,2018-05-27 14:46:00.257465.area
60,23348700.0,2018-05-27 14:46:41.823102.area
60,23499000.0,2018-05-27 14:47:21.217757.area
60,23461530.0,2018-05-27 14:47:28.750483.area
60,23623935.0,2018-05-27 14:47:42.094017.area
60,23300730.0,2018-05-27 14:47:50.386202.area
60,23424600.0,2018-05-27 14:47:58.625964.area
60,23039235.0,2018-05-27 14:48:23.045950.area
60,24329535.0,2018-05-27 14:48:45.746792.area
60,23645760.0,2018-05-27 14:49:14.512816.area
1,610000.0,2018-05-27 14:49:14.828146.area
60,23909055.0,2018-05-27 14:49:29.846795.area
60,23669175.0,2018-05-27 14:50:02.847618.area
60,23344680.0,2018-05-27 14:50:21.003288.area
60,23603235.0,2018-05-27 14:50:27.123095.area
60,23854740.0,2018-05-27 14:50:47.491026.area
60,23565435.0,2018-05-27 14:51:00.196352.area
60,23529885.0,2018-05-27 14:51:07.720269.area
60,23211300.0,2018-05-27 14:51:15.462198.area
60,23803650.0,2018-05-27 14:51:20.673242.area
60,23604360.0,2018-05-27 14:51:32.498468.area
60,23763675.0,2018-05-27 14:51:38.320487.area
60,23458410.0,2018-05-27 14:52:00.347007.area
60,23585670.0,2018-05-27 14:52:04.280211.area
60,23194005.0,2018-05-27 14:52:17.434608.area
60,23100240.0,2018-05-27 14:52:55.244371.area
60,23459310.0,2018-05-27 14:53:03.088440.area
60,23517690.0,2018-05-27 14:53:15.255282.area
60,23318490.0,2018-05-27 14:53:17.655766.area
60,23326335.0,2018-05-27 14:53:38.117323.area
60,23378250.0,2018-05-27 14:53:43.081953.area
60,23303595.0,2018-05-27 14:53:48.580230.area
60,23468760.0,2018-05-27 14:53:53.724134.area
60,23626605.0,2018-05-27 14:53:56.913279.area
60,23815530.0,2018-05-27 14:54:45.220442.area
60,23040855.0,2018-05-27 14:55:18.504094.area
60,23457990.0,2018-05-27 14:55:23.331535.area
60,23275155.0,2018-05-27 14:55:25.480661.area
60,23029905.0,2018-05-27 14:55:39.262576.area
60,23873220.0,2018-05-27 14:55:45.758440.area
60,23544045.0,2018-05-27 14:56:23.334510.area
60,23747250.0,2018-05-27 14:57:13.757926.area
60,23451690.0,2018-05-27 14:57:38.801493.area
60,23145855.0,2018-05-27 14:57:52.783164.area
60,23158320.0,2018-05-27 14:57:57.278390.area
60,23816865.0,2018-05-27 14:58:01.803283.area
60,23421300.0,2018-05-27 14:58:04.593647.area
60,23661510.0,2018-05-27 14:58:18.558172.area
60,23245095.0,2018-05-27 14:58:29.590320.area
60,23483925.0,2018-05-27 14:58:41.384822.area
60,24110985.0,2018-05-27 14:59:11.712847.area
60,23729310.0,2018-05-27 14:59:38.105441.area
60,23083845.0,2018-05-27 15:00:17.131718.area
60,23666700.0,2018-05-27 15:00:38.968305.area
60,23546970.0,2018-05-27 15:01:08.662328.area
60,23699385.0,2018-05-27 15:01:23.804709.area
60,23689935.0,2018-05-27 15:01:31.368999.area
60,23693970.0,2018-05-27 15:01:52.281822.area
60,23643840.0,2018-05-27 15:02:00.730424.area
60,23522745.0,2018-05-27 15:02:10.178513.area
60,23656680.0,2018-05-27 15:02:34.567855.area
60,23342730.0,2018-05-27 15:02:48.702104.area
60,23717055.0,2018-05-27 15:03:12.442227.area
60,23871870.0,2018-05-27 15:03:15.964922.area
60,23592525.0,2018-05-27 15:03:45.401611.area
60,23742750.0,2018-05-27 15:04:06.055995.area
60,23662140.0,2018-05-27 15:04:10.976074.area
60,23527260.0,2018-05-27 15:04:45.730414.area
60,23207340.0,2018-05-27 15:04:59.585755.area
60,23393670.0,2018-05-27 15:05:09.518578.area
60,23723415.0,2018-05-27 15:05:13.769984.area
60,23542005.0,2018-05-27 15:05:20.470482.area
60,23245500.0,2018-05-27 15:05:55.853941.area
60,23446560.0,2018-05-27 15:06:23.266417.area
60,23405370.0,2018-05-27 15:06:53.594589.area
60,23454600.0,2018-05-27 15:07:19.870452.area
60,23857335.0,2018-05-27 15:07:25.793847.area
60,23216595.0,2018-05-27 15:07:39.435394.area
60,23223615.0,2018-05-27 15:07:55.408375.area
60,23257065.0,2018-05-27 15:07:59.197057.area
60,23628630.0,2018-05-27 15:08:14.559431.area
60,23400360.0,2018-05-27 15:08:39.277492.area
60,23176875.0,2018-05-27 15:08:56.685817.area
60,23694255.0,2018-05-27 15:09:13.815281.area
60,23283270.0,2018-05-27 15:09:19.588454.area
60,23279460.0,2018-05-27 15:09:22.767752.area
60,23597850.0,2018-05-27 15:09:24.786711.area
60,24386505.0,2018-05-27 15:09:32.508379.area
60,23374410.0,2018-05-27 15:10:19.743633.area
60,23470980.0,2018-05-27 15:10:24.359180.area
60,23292450.0,2018-05-27 15:10:32.125461.area
60,23772495.0,2018-05-27 15:10:36.777762.area
60,23727570.0,2018-05-27 15:10:53.554828.area
60,23715795.0,2018-05-27 15:11:02.252493.area
60,23805210.0,2018-05-27 15:11:07.327456.area
60,23603925.0,2018-05-27 15:11:10.799214.area
60,23908755.0,2018-05-27 15:11:19.120486.area
60,23568900.0,2018-05-27 15:11:40.322044.area
60,23970480.0,2018-05-27 15:11:42.640689.area
60,23830890.0,2018-05-27 15:30:24.614189.area
60,23290155.0,2018-05-27 15:30:14.972197.area
60,23716020.0,2018-05-27 15:30:45.492064.area
60,23341110.0,2018-05-27 15:30:58.396802.area
60,23356650.0,2018-05-27 15:31:08.143287.area
60,23570295.0,2018-05-27 15:31:13.651228.area
60,23556735.0,2018-05-27 15:31:18.693851.area
60,23190975.0,2018-05-27 15:31:43.214301.area
60,24092775.0,2018-05-27 15:32:17.000053.area
60,23306775.0,2018-05-27 15:32:21.811587.area
60,23360835.0,2018-05-27 15:32:24.768118.area
60,22937880.0,2018-05-27 15:32:49.297108.area
60,23077695.0,2018-05-27 15:33:10.251273.area
60,23756115.0,2018-05-27 15:33:17.109071.area
60,23606460.0,2018-05-27 15:33:30.198498.area
60,23441940.0,2018-05-27 15:33:52.250724.area
60,23951595.0,2018-05-27 15:33:54.699471.area
60,23422515.0,2018-05-27 15:34:01.687652.area
60,23927655.0,2018-05-27 15:34:11.318421.area
60,23285415.0,2018-05-27 15:34:34.189556.area
60,23462760.0,2018-05-27 15:34:42.265549.area
60,23294280.0,2018-05-27 15:34:47.590608.area
60,23295855.0,2018-05-27 15:35:33.908316.area
60,23759370.0,2018-05-27 15:35:48.488498.area
60,23343015.0,2018-05-27 15:37:25.751167.area
60,23881560.0,2018-05-27 15:37:30.427178.area
60,23277270.0,2018-05-27 15:37:55.534547.area
60,23221710.0,2018-05-27 15:38:09.902125.area
